,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,income
0,0.17889714,0.1257106,0.72261167,0.053043853,0.033456106,0.38455003,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1,0.17419797,0.12885562,0.72312933,0.05358744,0.03424751,0.3835928,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2,0.17984347,0.12945637,0.71999776,0.053377315,0.03404237,0.38471532,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
3,0.17511165,0.12859216,0.72382563,0.053733394,0.03394072,0.38379657,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
4,0.17069957,0.13290335,0.726354,0.054846883,0.034285065,0.3831555,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
5,,,,,,,,,,,,,,,,,,,,,
6,0.17885889,0.13001749,0.7210888,0.05344916,0.03391883,0.38491955,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
7,0.17488483,0.12896729,0.72206056,0.053309713,0.034331076,0.38390794,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
8,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,0.17176564,0.13329563,0.7245531,0.05447834,0.03447474,0.38355222,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
12,0.18791948,0.13056466,0.71881646,0.053031895,0.03285721,0.3876751,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
13,0.1929441,0.12942842,0.7178635,0.05273031,0.032233838,0.38886482,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
14,0.17197359,0.12854064,0.72370344,0.053729802,0.03454559,0.38276133,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
15,0.1788837,0.1273474,0.7235028,0.05325117,0.03323954,0.38516405,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
16,0.18467526,0.12843864,0.72169745,0.053360198,0.03276621,0.38645047,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
17,0.18966022,0.12932025,0.71732575,0.052726835,0.032905765,0.3876717,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
18,0.1746803,0.12836549,0.726027,0.05421179,0.033559814,0.38362175,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
19,0.17980756,0.12750655,0.7225015,0.053079486,0.03329744,0.3854143,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
20,,,,,,,,,,,,,,,,,,,,,
21,0.17154971,0.13290547,0.7216279,0.05394344,0.035190642,0.38311553,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
22,0.1744188,0.13090882,0.72739875,0.05478105,0.03334434,0.38408554,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
23,0.17749202,0.12747939,0.7254627,0.053974852,0.033169523,0.38432634,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
24,0.18322244,0.12906012,0.72201616,0.053395413,0.03291806,0.38631523,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
25,0.16970858,0.13177168,0.72670907,0.054719415,0.034351174,0.3827693,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
26,0.17843452,0.12967885,0.721812,0.053651553,0.033865932,0.38459787,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
