,Sparsity,Proximity,Constraint_Violation,Redundancy,y-Nearest-Neighbours-Probability,y-Nearest-Neighbours-Distance,Time_taken,y-Nearest-Neighbours-Manifold-Distance,Sphere-Manifold-Distance,Success_Rate,Average_Time,y-Nearest-Neighbours
0,10.0,5.238007924096405,1.0,12.0,1.0,6.0,5.739968976005912,0.6370641462009927,0.4078430484911464,0.19,5.695192838798,1.0
1,7.0,2.1660496607425435,1.0,8.0,1.0,6.0,5.794635074998951,0.6330096654099008,0.40725382288267964,,,
2,11.0,6.226991851879422,1.0,14.0,1.0,6.0,5.676810028002365,0.6318460456532021,0.4070357388008404,,,
3,8.0,3.3508617607221094,1.0,10.0,1.0,6.0,6.056273098001839,0.6380496911209603,0.40777507169220767,,,
4,8.0,3.231374536978808,1.0,10.0,1.0,6.0,6.25346947601065,0.6368634692829629,0.4078295083047721,,,
5,9.0,4.135010557521289,1.0,12.0,1.0,6.0,5.90387689799536,0.5812140695255776,0.40144898766405845,,,
6,8.0,3.328709237295608,1.0,10.0,1.0,6.0,5.702203086999361,0.6392699948948404,0.40774569607710304,,,
7,9.0,4.023596873936129,1.0,12.0,1.0,6.0,5.77285436099919,0.6393953017395516,0.4072074512408863,,,
8,10.0,5.229748275623283,1.0,12.0,1.0,6.0,5.842523610001081,0.6367142848175545,0.40778181815163184,,,
9,9.0,4.458689091239319,1.0,10.0,1.0,6.0,5.858235264997347,0.6344241313141366,0.40758625978225327,,,
10,6.0,0.9406475528882229,1.0,6.0,1.0,6.0,5.854207654992933,0.636716549794056,0.4077512136770888,,,
11,10.0,5.33924465596131,1.0,12.0,1.0,6.0,5.9486942529911175,0.5956096164387246,0.4047019778681461,,,
12,7.0,2.209648429109527,1.0,8.0,1.0,6.0,5.790503144002287,0.6169460109871407,0.40421603467375233,,,
13,12.0,7.342114069820355,2.0,16.0,1.0,6.0,5.788541513989912,0.6310700527828713,0.4071315008659762,,,
14,8.0,3.030327395328867,1.0,10.0,1.0,6.0,5.757252160998178,0.6349290720623513,0.40784653859125863,,,
15,8.0,3.9967785380856236,1.0,8.0,1.0,6.0,5.685423689996242,0.6375639788311501,0.40788936813681637,,,
16,9.0,4.2104528623713025,1.0,10.0,1.0,6.0,5.688922411005478,0.6313879243534585,0.40715776778240664,,,
17,8.0,3.242287405760977,1.0,10.0,1.0,6.0,5.658209772998816,0.6293906323116799,0.40620212277395323,,,
18,7.0,1.8081079278904753,1.0,8.0,1.0,6.0,5.632861454010708,0.638836865822651,0.40765635580122084,,,
19,6.0,1.489746873776135,1.0,6.0,1.0,6.0,5.734403135997127,0.6378095976513406,0.4079186093353022,,,
20,11.0,5.979053872632559,2.0,14.0,1.0,6.0,5.724991835013498,0.6399844817322274,0.4073946929404797,,,
21,6.0,1.1440624091967886,1.0,6.0,1.0,6.0,5.737289757002145,0.6337693027657052,0.4074293422149554,,,
22,9.0,4.388237729728605,1.0,10.0,1.0,6.0,5.788853241989273,0.6383227936428567,0.40774887938318155,,,
23,12.0,7.232237860751998,2.0,16.0,1.0,6.0,5.68924269398849,0.6323379866283914,0.40733637352908086,,,
24,8.0,3.380258794210854,1.0,10.0,1.0,6.0,5.638892668997869,0.6128214053314706,0.4043901685686952,,,
25,9.0,4.233128994223177,1.0,12.0,1.0,6.0,5.635539972994593,0.635690634648182,0.40792590164124504,,,
26,10.0,5.65740496619505,1.0,12.0,1.0,6.0,5.6666843950079056,0.6179126254719277,0.40365165759694993,,,
27,11.0,6.331230737472268,2.0,14.0,1.0,6.0,5.869556102989009,0.6308825782936593,0.40672735284494416,,,
28,12.0,7.279000028910725,2.0,16.0,1.0,6.0,5.643948276992887,0.5946823290985604,0.40441519929649583,,,
29,10.0,5.384377809028088,1.0,12.0,1.0,6.0,5.753812256996753,0.6295278243225595,0.4064493046263106,,,
30,12.0,8.270024539875099,1.0,16.0,1.0,6.0,5.666292263005744,0.6345383874577065,0.40781547224335607,,,
31,8.0,3.0179779763537535,0.0,10.0,1.0,6.0,5.738420764013426,0.6300109914940377,0.4065232939078774,,,
32,10.0,5.227713799907077,1.0,12.0,1.0,6.0,5.915062007989036,0.6304719082516214,0.40676542211356803,,,
33,11.0,6.739951822965187,2.0,14.0,1.0,6.0,5.6792065810004715,0.5926228753727456,0.4036623324304209,,,
34,7.0,2.2446009099213,1.0,8.0,1.0,6.0,5.619461765003507,0.2849603702856826,0.3406000159063498,,,
35,7.0,2.1077643467651894,1.0,6.0,1.0,6.0,5.690543050004635,0.6324214748543282,0.40709801450560174,,,
36,8.0,3.335014564036982,1.0,10.0,1.0,6.0,5.602967126993462,0.6320506415766259,0.407058816736808,,,
37,10.0,5.364192882418907,2.0,12.0,1.0,6.0,5.665991429996211,0.6251020185154458,0.40457893247475146,,,
38,7.0,2.459533494111574,1.0,8.0,1.0,6.0,5.6310594029928325,0.6068277768295784,0.4051448057961558,,,
39,10.0,5.355547778380922,1.0,12.0,1.0,6.0,5.642832419005572,0.6349429837864419,0.4076769026986217,,,
40,8.0,3.2836076357497905,1.0,8.0,1.0,6.0,5.626452709999285,0.6177369884651681,0.403855670226998,,,
41,10.0,4.891476508305164,2.0,14.0,1.0,6.0,5.659691681998083,0.6311097047728081,0.4071287455373405,,,
42,7.0,1.997780096673522,0.0,6.0,1.0,6.0,5.7161630719929235,0.6332351259392281,0.4072694496568992,,,
43,11.0,7.172194397796004,1.0,14.0,1.0,6.0,5.969414274994051,0.5977200738590737,0.4049946370033971,,,
