,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,income
0,0.2831606,-0.06486747,0.59492993,0.20588468,-0.18637452,0.34470278,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3,0.43816692,0.21804678,0.6010925,0.1207162,0.265655,0.51617086,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
4,0.6945032,-0.65022683,0.6834441,0.56630445,-0.34234762,0.6211042,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
5,,,,,,,,,,,,,,,,,,,,,
6,0.5780565,-0.30621436,0.14647903,0.32108963,-0.06540027,0.41954872,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
7,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
8,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
11,0.3434423,0.07389644,0.80749995,0.19512998,0.35732386,0.59135455,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
12,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
13,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
14,0.32932508,0.27829614,0.6063492,0.14101964,0.2535908,0.5345008,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
15,0.2732213,0.11148095,-0.04607466,0.3099051,-0.009114355,0.68260187,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
16,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
17,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
18,0.19211535,0.30912587,0.64487463,0.10011786,0.11537033,0.5502189,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
19,0.1999337,-0.08328417,0.8675713,0.18396196,-0.20575055,0.45602226,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
20,,,,,,,,,,,,,,,,,,,,,
21,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
22,0.2693951,0.24280706,0.39191175,0.12264764,-0.00837031,0.28762668,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
23,0.28486282,0.37606958,0.57773787,0.046812028,0.18485424,0.48914957,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
24,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
25,0.25185698,0.0065645576,0.7743964,0.30662292,0.19718465,0.40433753,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
26,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
27,0.3293252,0.2782958,0.6063494,0.14102037,0.2535914,0.53450173,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
28,0.118789434,0.21615532,0.6829446,0.25422966,0.0015160143,0.4519396,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
29,0.53184545,0.0150253475,0.7210577,0.14575094,0.11988452,0.3300534,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,0.13314152,0.22025383,0.8228597,0.10199329,0.113612026,0.7725974,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
31,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
32,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
33,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
34,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
35,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
36,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
37,0.29419917,0.06515151,0.6805059,0.1948425,0.16336939,0.41768762,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
38,0.52644724,0.030332178,0.7143336,0.13243291,0.119838536,0.32504582,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
39,,,,,,,,,,,,,,,,,,,,,
40,0.36014736,0.00022897124,0.32563257,0.5724104,-0.075564116,0.28431302,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
41,,,,,,,,,,,,,,,,,,,,,
42,0.039865345,0.05493161,0.8092008,0.2704716,0.06153837,0.6239292,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
