,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,sex_Female,sex_Male,native-country_Non-US,native-country_US,income
0,0.33102578,0.07380728,0.829697,0.051439118,0.029709965,0.42764437,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,0.4620548,0.058051743,0.81,0.01,0.01,0.13244899,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2,,,,,,,,,,,,,,,,,,,,,
3,0.54237163,0.19966705,0.4492465,0.049268205,0.049258616,0.4471892,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
4,0.16068494,0.23063508,0.81,0.009999999,0.009999999,0.40795916,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5,0.2739726,0.18421909,0.8666667,0.0,0.0,0.39795917,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
6,,,,,,,,,,,,,,,,,,,,,
7,0.4993519,0.15341324,0.55323815,0.019907128,0.019902857,0.46888196,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
8,0.19178082,0.022661295,0.8666667,0.14084141,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
9,0.34246576,0.099561945,0.8,0.05178052,0.0,0.39795917,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
10,0.2739726,0.18143311,0.6,0.0,0.0,0.8061224,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
11,0.19798607,0.10717919,0.81990874,0.019911347,0.019907113,0.4178652,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
12,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,
14,0.34462595,0.10403794,0.6960611,0.029553354,0.029623382,0.42709428,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,0.33698234,0.060512707,0.4493315,0.049347322,0.0493377,0.54931897,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
19,0.3954378,0.22780885,0.9061103,0.039435,0.039166078,0.48833698,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
20,0.31506848,0.12261495,1.0,0.0,0.0,0.6020408,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
21,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,
23,0.37608063,0.090779826,0.41992044,0.019922381,0.48869747,0.41787753,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
24,,,,,,,,,,,,,,,,,,,,,
25,0.54424655,0.14839655,0.81,0.01,0.009999999,0.40795916,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
26,,,,,,,,,,,,,,,,,,,,,
27,0.5267648,0.13351864,0.6199198,0.019921709,0.019918077,0.6219585,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
28,0.35057145,0.28937763,0.5825871,0.049259566,0.04928304,0.855361,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
29,0.46808723,0.15221749,0.5630782,0.029756084,0.029750627,0.42769527,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,
32,0.40344056,0.27336156,0.8198982,0.019899819,0.34314218,0.41785225,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
33,0.2174586,0.071871184,0.63932,0.039387915,0.039411046,0.4371838,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
34,0.13649563,0.27149072,0.66756946,0.06802738,0.068223625,0.20968026,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
35,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
37,0.0667742,0.39916942,0.57276314,0.039439186,0.03943693,0.28431064,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
38,0.23125024,0.088062435,0.63948864,0.03950383,0.039495297,0.41702765,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
39,0.42465752,0.17129384,0.73333335,0.0,0.0,0.39795917,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
40,0.2506343,0.3940858,0.32555345,0.058915697,0.058904137,0.4874365,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
41,0.49315068,0.051566355,0.8,0.0,0.0,0.39795917,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
42,0.10589041,0.118720904,0.81,0.009999999,0.01,0.51,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
43,,,,,,,,,,,,,,,,,,,,,
